Trait,Metric,Method,Annotation,Score,Score SE
Waist-hip Ratio,tau,S-LDSC,H3K4me3_Trynka,2.8679491575416665e-08,1.677341794882334e-08
Waist-hip Ratio,tau,S-LDSC,H3K4me3_Trynka.flanking.500,1.8598016251508776e-08,1.341598520497305e-08
Waist-hip Ratio,tau,S-LDSC,H3K9ac_peaks_Trynka,-4.8020970443040875e-08,4.738880238675251e-08
Waist-hip Ratio,tau,S-LDSC,H3K9ac_Trynka,8.930325909594929e-08,2.0881447814200855e-08
Waist-hip Ratio,tau,S-LDSC,H3K9ac_Trynka.flanking.500,-4.947512689942927e-09,1.9901193600645822e-08
Waist-hip Ratio,tau,S-LDSC,Intron_UCSC,-4.289331058708932e-09,2.951799608601245e-09
Waist-hip Ratio,tau,S-LDSC,Intron_UCSC.flanking.500,-3.450253095625564e-08,6.29101081221344e-08
Waist-hip Ratio,tau,S-LDSC,PromoterFlanking_Hoffman,-2.232005470262304e-08,8.798596936324584e-08
Waist-hip Ratio,tau,S-LDSC,PromoterFlanking_Hoffman.flanking.500,-4.254651093956768e-08,3.55326196015148e-08
Waist-hip Ratio,tau,S-LDSC,Promoter_UCSC,-4.7064583550209284e-08,2.0522983827872336e-08
Waist-hip Ratio,tau,S-LDSC,Promoter_UCSC.flanking.500,6.26849337755921e-08,6.660683146108494e-08
Waist-hip Ratio,tau,S-LDSC,Repressed_Hoffman,-3.4671387412171837e-09,1.0960975528837497e-08
Waist-hip Ratio,tau,S-LDSC,Repressed_Hoffman.flanking.500,9.28510099135192e-09,9.15447294033809e-09
Waist-hip Ratio,tau,S-LDSC,SuperEnhancer_Hnisz,7.176420118490099e-09,5.753482423338377e-09
Waist-hip Ratio,tau,S-LDSC,SuperEnhancer_Hnisz.flanking.500,-6.38547127241409e-08,1.0162691382668297e-07
Waist-hip Ratio,tau,S-LDSC,TFBS_ENCODE,-4.7860557396730556e-09,2.6209449884890967e-08
Waist-hip Ratio,tau,S-LDSC,TFBS_ENCODE.flanking.500,1.3653106625455996e-08,1.2728990339530362e-08
Waist-hip Ratio,tau,S-LDSC,Transcr_Hoffman,-1.2356982588936665e-08,9.622094416715992e-09
Waist-hip Ratio,tau,S-LDSC,Transcr_Hoffman.flanking.500,-4.199600456919698e-09,8.811322148938065e-09
Waist-hip Ratio,tau,S-LDSC,TSS_Hoffman,9.151027340466588e-09,4.6397459276847894e-08
Waist-hip Ratio,tau,S-LDSC,TSS_Hoffman.flanking.500,5.225070812749436e-08,5.336876224228461e-08
Waist-hip Ratio,tau,S-LDSC,UTR_3_UCSC,7.624431300451796e-08,6.891879964288429e-08
Waist-hip Ratio,tau,S-LDSC,UTR_3_UCSC.flanking.500,-5.586405816331857e-08,3.033602647327306e-08
Waist-hip Ratio,tau,S-LDSC,UTR_5_UCSC,-6.593178412683894e-09,4.652387481529868e-08
Waist-hip Ratio,tau,S-LDSC,UTR_5_UCSC.flanking.500,-1.561113977234598e-08,3.198002955239938e-08
Waist-hip Ratio,tau,S-LDSC,WeakEnhancer_Hoffman,-2.902136344919636e-08,4.921780128791766e-08
Waist-hip Ratio,tau,S-LDSC,WeakEnhancer_Hoffman.flanking.500,-4.112174963490855e-08,2.3770407749527608e-08
Waist-hip Ratio,tau,S-LDSC,GERP.NS,-1.31315614949348e-09,3.551187141671264e-09
Waist-hip Ratio,tau,S-LDSC,GERP.RSsup4,-4.8214451906820006e-08,1.0297681125529159e-07
Waist-hip Ratio,tau,S-LDSC,MAFbin1,1.2213101390953277e-08,5.035886066828962e-09
Waist-hip Ratio,tau,S-LDSC,MAFbin2,8.984869595053795e-09,4.20366313919747e-09
Waist-hip Ratio,tau,S-LDSC,MAFbin3,8.973394998310754e-09,3.761107605881511e-09
Waist-hip Ratio,tau,S-LDSC,MAFbin4,1.1447334536937935e-08,4.9159380250980876e-09
Waist-hip Ratio,tau,S-LDSC,MAFbin5,1.255913611661074e-08,5.128569157119253e-09
Waist-hip Ratio,tau,S-LDSC,MAFbin6,2.031117619376152e-08,6.102346989323621e-09
Waist-hip Ratio,tau,S-LDSC,MAFbin7,3.9963939528930905e-08,9.140130992562111e-09
Waist-hip Ratio,tau,S-LDSC,MAFbin8,3.218749829823035e-08,9.705980941008744e-09
Waist-hip Ratio,tau,S-LDSC,MAFbin9,2.473211615282958e-08,7.993339917758908e-09
Waist-hip Ratio,tau,S-LDSC,MAFbin10,4.9008095945326705e-08,1.4888676302128673e-08
Waist-hip Ratio,tau,S-LDSC,MAF_Adj_Predicted_Allele_Age,5.523812111077918e-10,2.8096683666611813e-09
Waist-hip Ratio,tau,S-LDSC,MAF_Adj_LLD_AFR,-2.7555068136006223e-09,2.6726270442259836e-09
Waist-hip Ratio,tau,S-LDSC,Recomb_Rate_10kb,-1.541982848580574e-09,7.255140582736518e-10
Waist-hip Ratio,tau,S-LDSC,Nucleotide_Diversity_10kb,-6.642458810127559e-10,7.926432653740437e-10
Waist-hip Ratio,tau,S-LDSC,Backgrd_Selection_Stat,1.0587467501398416e-08,1.0232902509647732e-08
Waist-hip Ratio,tau,S-LDSC,CpG_Content_50kb,2.0551911889423334e-07,4.508703419504341e-07
Waist-hip Ratio,tau,S-LDSC,MAF_Adj_ASMC,-6.635746459811901e-09,1.958775077674831e-09
Waist-hip Ratio,tau,S-LDSC,GTEx_eQTL_MaxCPP,2.3215175273230548e-07,7.876080525292987e-08
Waist-hip Ratio,tau,S-LDSC,BLUEPRINT_H3K27acQTL_MaxCPP,4.973763060198471e-08,6.807545658082312e-08
Waist-hip Ratio,tau,S-LDSC,BLUEPRINT_H3K4me1QTL_MaxCPP,4.308437040422636e-08,6.93177452384051e-08
Waist-hip Ratio,tau,S-LDSC,BLUEPRINT_DNA_methylation_MaxCPP,2.93773114589027e-08,4.061549081849667e-08
Waist-hip Ratio,tau,S-LDSC,synonymous,-8.403312072691091e-08,1.3515998692956432e-07
Waist-hip Ratio,tau,S-LDSC,non_synonymous,1.9216252678951173e-07,1.2080082016470596e-07
Waist-hip Ratio,tau,S-LDSC,Conserved_Vertebrate_phastCons46way,-6.172627534919795e-08,5.111000558887465e-08
Waist-hip Ratio,tau,S-LDSC,Conserved_Vertebrate_phastCons46way.flanking.500,-4.1222542723332624e-08,1.9874778758194858e-08
Waist-hip Ratio,tau,S-LDSC,Conserved_Mammal_phastCons46way,7.468497873920189e-08,9.240824712849167e-08
Waist-hip Ratio,tau,S-LDSC,Conserved_Mammal_phastCons46way.flanking.500,3.92981713982044e-08,2.2094341325369147e-08
Waist-hip Ratio,tau,S-LDSC,Conserved_Primate_phastCons46way,1.5946901295438752e-07,6.506603404076533e-08
Waist-hip Ratio,tau,S-LDSC,Conserved_Primate_phastCons46way.flanking.500,3.675848819208327e-08,1.977008129891948e-08
Waist-hip Ratio,tau,S-LDSC,BivFlnk,2.9273062305728514e-07,1.145211171816331e-07
Waist-hip Ratio,tau,S-LDSC,BivFlnk.flanking.500,-1.1690304286147301e-07,4.0888957663752844e-08
Waist-hip Ratio,tau,S-LDSC,Human_Promoter_Villar,-1.1626344838316336e-07,4.134186559031359e-08
Waist-hip Ratio,tau,S-LDSC,Human_Promoter_Villar.flanking.500,-1.3601653293538522e-07,1.1388195081291347e-07
Waist-hip Ratio,tau,S-LDSC,Human_Enhancer_Villar,-6.997231661749428e-08,3.475638211338099e-08
Waist-hip Ratio,tau,S-LDSC,Human_Enhancer_Villar.flanking.500,3.9233117270604844e-08,5.6341490336301566e-08
Waist-hip Ratio,tau,S-LDSC,Ancient_Sequence_Age_Human_Promoter,3.027993296294516e-07,1.3102133942133187e-07
Waist-hip Ratio,tau,S-LDSC,Ancient_Sequence_Age_Human_Promoter.flanking.500,1.5205525051264965e-07,1.1029428751393579e-07
Waist-hip Ratio,tau,S-LDSC,Ancient_Sequence_Age_Human_Enhancer,3.330919068762847e-07,1.8345159571854348e-07
Waist-hip Ratio,tau,S-LDSC,Ancient_Sequence_Age_Human_Enhancer.flanking.500,-1.697300964206973e-08,7.148245896592295e-08
Waist-hip Ratio,tau,S-LDSC,Human_Enhancer_Villar_Species_Enhancer_Count,2.5321114430384235e-08,1.1991911923085383e-08
Waist-hip Ratio,tau,S-LDSC,Human_Promoter_Villar_ExAC,7.74444832755029e-08,9.551040549586923e-08
Waist-hip Ratio,tau,S-LDSC,Human_Promoter_Villar_ExAC.flanking.500,1.39467959606906e-07,2.3236387578632178e-07
Waist-hip Ratio,tau,S-LD2MAF,base,-1.492111542729613e-08,1.2438314325153101e-08
Waist-hip Ratio,tau,S-LD2MAF,Coding_UCSC,-9.092921247454348e-08,7.380155990040337e-08
Waist-hip Ratio,tau,S-LD2MAF,Coding_UCSC.flanking.500,-4.967816115703475e-08,2.1273237532020564e-08
Waist-hip Ratio,tau,S-LD2MAF,Conserved_LindbladToh,1.9308965739338663e-07,1.0475160887273025e-07
Waist-hip Ratio,tau,S-LD2MAF,Conserved_LindbladToh.flanking.500,-7.3365292447761115e-09,1.218719411786382e-08
Waist-hip Ratio,tau,S-LD2MAF,CTCF_Hoffman,-2.7094826106512063e-08,3.803386273582876e-08
Waist-hip Ratio,tau,S-LD2MAF,CTCF_Hoffman.flanking.500,-4.671213939109107e-08,2.3760548448836222e-08
Waist-hip Ratio,tau,S-LD2MAF,DGF_ENCODE,4.812547518187249e-08,2.6446097244408517e-08
Waist-hip Ratio,tau,S-LD2MAF,DGF_ENCODE.flanking.500,-4.6162571604838187e-10,1.0439841128319117e-08
Waist-hip Ratio,tau,S-LD2MAF,DHS_peaks_Trynka,6.532742512462793e-08,3.685834038826523e-08
Waist-hip Ratio,tau,S-LD2MAF,DHS_Trynka,-3.1215017761518725e-08,3.628618012027626e-08
Waist-hip Ratio,tau,S-LD2MAF,DHS_Trynka.flanking.500,-2.23973511140044e-09,1.8518706900374173e-08
Waist-hip Ratio,tau,S-LD2MAF,Enhancer_Andersson,7.689128088698103e-08,9.607327885477286e-08
Waist-hip Ratio,tau,S-LD2MAF,Enhancer_Andersson.flanking.500,5.816293907896083e-09,5.00128831141955e-08
Waist-hip Ratio,tau,S-LD2MAF,Enhancer_Hoffman,-3.721624928970595e-08,3.5067048941789816e-08
Waist-hip Ratio,tau,S-LD2MAF,Enhancer_Hoffman.flanking.500,-2.355706457514926e-08,2.8247307048332196e-08
Waist-hip Ratio,tau,S-LD2MAF,FetalDHS_Trynka,-1.871407813906145e-08,3.7022483110108523e-08
Waist-hip Ratio,tau,S-LD2MAF,FetalDHS_Trynka.flanking.500,7.545242163486989e-09,1.6528345945400387e-08
Waist-hip Ratio,tau,S-LD2MAF,H3K27ac_Hnisz,1.0329441049697552e-08,5.799260376062081e-09
Waist-hip Ratio,tau,S-LD2MAF,H3K27ac_Hnisz.flanking.500,1.8452448459650127e-08,2.988297184656649e-08
Waist-hip Ratio,tau,S-LD2MAF,H3K27ac_PGC2,-1.878860466151512e-09,1.111584408696778e-08
Waist-hip Ratio,tau,S-LD2MAF,H3K27ac_PGC2.flanking.500,4.5592209176336734e-08,1.8472230360397298e-08
Waist-hip Ratio,tau,S-LD2MAF,H3K4me1_peaks_Trynka,-2.432720031989018e-08,2.264228387732386e-08
Waist-hip Ratio,tau,S-LD2MAF,H3K4me1_Trynka,5.309560107273681e-09,1.1298739685676998e-08
Waist-hip Ratio,tau,S-LD2MAF,H3K4me1_Trynka.flanking.500,3.4152094508628255e-09,1.2292296369221478e-08
Waist-hip Ratio,tau,S-LD2MAF,H3K4me3_peaks_Trynka,-1.3180630009041619e-08,4.0029415028761544e-08
Waist-hip Ratio,tau,S-LD2MAF,H3K4me3_Trynka,2.8864283142023755e-08,1.6980668454304796e-08
Waist-hip Ratio,tau,S-LD2MAF,H3K4me3_Trynka.flanking.500,1.6773572782489167e-08,1.3296774604779563e-08
Waist-hip Ratio,tau,S-LD2MAF,H3K9ac_peaks_Trynka,-4.2515156236316915e-08,4.789242930488648e-08
Waist-hip Ratio,tau,S-LD2MAF,H3K9ac_Trynka,8.82271214514604e-08,2.0744196647221094e-08
Waist-hip Ratio,tau,S-LD2MAF,H3K9ac_Trynka.flanking.500,-3.322868887834453e-09,2.004266576446966e-08
Waist-hip Ratio,tau,S-LD2MAF,Intron_UCSC,-4.282292853644411e-09,2.9545090403274715e-09
Waist-hip Ratio,tau,S-LD2MAF,Intron_UCSC.flanking.500,-2.55631725495166e-08,6.54042013012456e-08
Waist-hip Ratio,tau,S-LD2MAF,PromoterFlanking_Hoffman,-2.7003726993940426e-08,8.4695726545641e-08
Waist-hip Ratio,tau,S-LD2MAF,PromoterFlanking_Hoffman.flanking.500,-4.951243696205817e-08,3.5775557272459606e-08
Waist-hip Ratio,tau,S-LD2MAF,Promoter_UCSC,-5.004204609662708e-08,2.1109119242425427e-08
Waist-hip Ratio,tau,S-LD2MAF,Promoter_UCSC.flanking.500,6.608399090589503e-08,6.888143783592467e-08
Waist-hip Ratio,tau,S-LD2MAF,Repressed_Hoffman,-3.6194311704976966e-09,1.0899304030811177e-08
Waist-hip Ratio,tau,S-LD2MAF,Repressed_Hoffman.flanking.500,8.515880072985464e-09,9.202199954925365e-09
Waist-hip Ratio,tau,S-LD2MAF,SuperEnhancer_Hnisz,6.760546126267983e-09,5.7935110294599086e-09
Waist-hip Ratio,tau,S-LD2MAF,SuperEnhancer_Hnisz.flanking.500,-6.742767452809184e-08,1.0425678180854718e-07
Waist-hip Ratio,tau,S-LD2MAF,TFBS_ENCODE,-4.4758611264707104e-09,2.5567274776908825e-08
Waist-hip Ratio,tau,S-LD2MAF,TFBS_ENCODE.flanking.500,1.3457114692683208e-08,1.2869722310208029e-08
Waist-hip Ratio,tau,S-LD2MAF,Transcr_Hoffman,-1.1800143084033397e-08,9.535891787735347e-09
Waist-hip Ratio,tau,S-LD2MAF,Transcr_Hoffman.flanking.500,-3.750155366413499e-09,8.815841312725006e-09
Waist-hip Ratio,tau,S-LD2MAF,TSS_Hoffman,6.334856216974145e-09,4.5583331868375956e-08
Waist-hip Ratio,tau,S-LD2MAF,TSS_Hoffman.flanking.500,5.911859798533612e-08,5.4831168524155294e-08
Waist-hip Ratio,tau,S-LD2MAF,UTR_3_UCSC,6.954715131422793e-08,6.750738617329873e-08
Waist-hip Ratio,tau,S-LD2MAF,UTR_3_UCSC.flanking.500,-5.4838282587789225e-08,3.054353481934834e-08
Waist-hip Ratio,tau,S-LD2MAF,UTR_5_UCSC,-7.3382160448582125e-09,4.6845225168343877e-08
Waist-hip Ratio,tau,S-LD2MAF,UTR_5_UCSC.flanking.500,-1.0662722384375452e-08,3.241815479162812e-08
Waist-hip Ratio,tau,S-LD2MAF,WeakEnhancer_Hoffman,-2.893850320890081e-08,4.8596995645966804e-08
Waist-hip Ratio,tau,S-LD2MAF,WeakEnhancer_Hoffman.flanking.500,-4.124462506315223e-08,2.3900928747876524e-08
Waist-hip Ratio,tau,S-LD2MAF,GERP.NS,-1.2797295153296154e-09,3.6484053547488513e-09
Waist-hip Ratio,tau,S-LD2MAF,GERP.RSsup4,-5.901478758462469e-08,1.0312345501108258e-07
Waist-hip Ratio,tau,S-LD2MAF,MAFbin1,1.230363104291928e-08,5.294790982826558e-09
Waist-hip Ratio,tau,S-LD2MAF,MAFbin2,9.387633864333984e-09,4.224800056507382e-09
Waist-hip Ratio,tau,S-LD2MAF,MAFbin3,8.889306144214603e-09,3.800004677037411e-09
Waist-hip Ratio,tau,S-LD2MAF,MAFbin4,1.1147657471439564e-08,4.971890337986189e-09
Waist-hip Ratio,tau,S-LD2MAF,MAFbin5,1.2305575088894445e-08,5.24635079275942e-09
Waist-hip Ratio,tau,S-LD2MAF,MAFbin6,2.0445314392036878e-08,6.108495774683998e-09
Waist-hip Ratio,tau,S-LD2MAF,MAFbin7,4.004802315229901e-08,9.01732373684445e-09
Waist-hip Ratio,tau,S-LD2MAF,MAFbin8,3.255300815900682e-08,9.489496447680271e-09
Waist-hip Ratio,tau,S-LD2MAF,MAFbin9,2.2523259684797536e-08,7.930963308001813e-09
Waist-hip Ratio,tau,S-LD2MAF,MAFbin10,5.0319720437740466e-08,1.603978484574744e-08
Waist-hip Ratio,tau,S-LD2MAF,MAF_Adj_Predicted_Allele_Age,7.460748255152771e-10,2.8743810753638152e-09
Waist-hip Ratio,tau,S-LD2MAF,MAF_Adj_LLD_AFR,-2.3749291810343772e-09,2.7270009257215353e-09
Waist-hip Ratio,tau,S-LD2MAF,Recomb_Rate_10kb,-1.5760598348374714e-09,7.311576555528623e-10
Waist-hip Ratio,tau,S-LD2MAF,Nucleotide_Diversity_10kb,-6.801029190848026e-10,8.050564939694042e-10
Waist-hip Ratio,tau,S-LD2MAF,Backgrd_Selection_Stat,1.1495657939066773e-08,9.985687608226102e-09
Waist-hip Ratio,tau,S-LD2MAF,CpG_Content_50kb,2.2722710614781232e-07,4.56062173793298e-07
Waist-hip Ratio,tau,S-LD2MAF,MAF_Adj_ASMC,-6.581405632855029e-09,2.0726126227484437e-09
Waist-hip Ratio,tau,S-LD2MAF,GTEx_eQTL_MaxCPP,2.3055091036897579e-07,7.894677404824097e-08
Waist-hip Ratio,tau,S-LD2MAF,BLUEPRINT_H3K27acQTL_MaxCPP,4.158430508993641e-08,6.903752168036035e-08
Waist-hip Ratio,tau,S-LD2MAF,BLUEPRINT_H3K4me1QTL_MaxCPP,4.8849472492175007e-08,7.1354998679686e-08
Waist-hip Ratio,tau,S-LD2MAF,BLUEPRINT_DNA_methylation_MaxCPP,2.7886348286590237e-08,4.106500433036208e-08
Waist-hip Ratio,tau,S-LD2MAF,synonymous,-6.992778570287281e-08,1.329069560496748e-07
Waist-hip Ratio,tau,S-LD2MAF,non_synonymous,1.8131516503541444e-07,1.1978743906883224e-07
Waist-hip Ratio,tau,S-LD2MAF,Conserved_Vertebrate_phastCons46way,-5.7401540166795874e-08,5.138026318638685e-08
Waist-hip Ratio,tau,S-LD2MAF,Conserved_Vertebrate_phastCons46way.flanking.500,-4.2273711403635256e-08,2.0217485319806128e-08
Waist-hip Ratio,tau,S-LD2MAF,Conserved_Mammal_phastCons46way,7.25942123170435e-08,9.375685018817562e-08
Waist-hip Ratio,tau,S-LD2MAF,Conserved_Mammal_phastCons46way.flanking.500,4.070705561465331e-08,2.2004194905863163e-08
Waist-hip Ratio,tau,S-LD2MAF,Conserved_Primate_phastCons46way,1.584177977672767e-07,6.850718214594358e-08
Waist-hip Ratio,tau,S-LD2MAF,Conserved_Primate_phastCons46way.flanking.500,3.667773985594239e-08,2.0358672856396336e-08
Waist-hip Ratio,tau,S-LD2MAF,BivFlnk,2.8934423247125776e-07,1.1148308079058054e-07
Waist-hip Ratio,tau,S-LD2MAF,BivFlnk.flanking.500,-1.1929044516943005e-07,4.14348656292441e-08
Waist-hip Ratio,tau,S-LD2MAF,Human_Promoter_Villar,-1.1694828774680103e-07,4.128206015182006e-08
Waist-hip Ratio,tau,S-LD2MAF,Human_Promoter_Villar.flanking.500,-1.418318699608624e-07,1.1110331235665724e-07
Waist-hip Ratio,tau,S-LD2MAF,Human_Enhancer_Villar,-7.136568858020141e-08,3.477355753370342e-08
Waist-hip Ratio,tau,S-LD2MAF,Human_Enhancer_Villar.flanking.500,4.278556386097414e-08,5.710419913542974e-08
Waist-hip Ratio,tau,S-LD2MAF,Ancient_Sequence_Age_Human_Promoter,3.2425762739152985e-07,1.375477832505547e-07
Waist-hip Ratio,tau,S-LD2MAF,Ancient_Sequence_Age_Human_Promoter.flanking.500,1.499023628675092e-07,1.0974300980958774e-07
Waist-hip Ratio,tau,S-LD2MAF,Ancient_Sequence_Age_Human_Enhancer,3.499279062564343e-07,1.8625963822620588e-07
Waist-hip Ratio,tau,S-LD2MAF,Ancient_Sequence_Age_Human_Enhancer.flanking.500,-1.6522149220874186e-08,7.175351231024285e-08
Waist-hip Ratio,tau,S-LD2MAF,Human_Enhancer_Villar_Species_Enhancer_Count,2.4078762117173727e-08,1.1776192837440406e-08
Waist-hip Ratio,tau,S-LD2MAF,Human_Promoter_Villar_ExAC,6.152381280613524e-08,9.831207293560371e-08
Waist-hip Ratio,tau,S-LD2MAF,Human_Promoter_Villar_ExAC.flanking.500,1.8528428045090996e-07,2.3366867134707694e-07
Waist-hip Ratio,tau,S-LD2,base,2.2780808507893964e-08,5.0923771447409145e-08
Waist-hip Ratio,tau,S-LD2,Coding_UCSC,-3.670720476395599e-07,2.9520767856913203e-07
Waist-hip Ratio,tau,S-LD2,Coding_UCSC.flanking.500,-1.8600431837510475e-07,7.373534367869565e-08
Waist-hip Ratio,tau,S-LD2,Conserved_LindbladToh,7.079939101216212e-07,4.724755883028586e-07
Waist-hip Ratio,tau,S-LD2,Conserved_LindbladToh.flanking.500,-3.676903621215708e-08,5.0964729047511014e-08
Waist-hip Ratio,tau,S-LD2,CTCF_Hoffman,-1.2973575150873349e-08,1.4918259994313693e-07
Waist-hip Ratio,tau,S-LD2,CTCF_Hoffman.flanking.500,-1.5795823950791098e-07,9.022826453083163e-08
Waist-hip Ratio,tau,S-LD2,DGF_ENCODE,1.911854996181222e-07,8.518242570989804e-08
Waist-hip Ratio,tau,S-LD2,DGF_ENCODE.flanking.500,8.008513445244825e-09,3.536777530387761e-08
Waist-hip Ratio,tau,S-LD2,DHS_peaks_Trynka,2.0542557233756773e-07,1.4686252154890252e-07
Waist-hip Ratio,tau,S-LD2,DHS_Trynka,-8.828927879482599e-08,1.3532449779634928e-07
Waist-hip Ratio,tau,S-LD2,DHS_Trynka.flanking.500,1.848225343156467e-08,6.225583257699663e-08
Waist-hip Ratio,tau,S-LD2,Enhancer_Andersson,3.0651126549634605e-07,3.715550715400955e-07
Waist-hip Ratio,tau,S-LD2,Enhancer_Andersson.flanking.500,1.1596715750880012e-08,1.7081647880562005e-07
Waist-hip Ratio,tau,S-LD2,Enhancer_Hoffman,-1.1726859596504593e-07,1.232648072427352e-07
Waist-hip Ratio,tau,S-LD2,Enhancer_Hoffman.flanking.500,-7.173130615719631e-08,1.0680603983911309e-07
Waist-hip Ratio,tau,S-LD2,FetalDHS_Trynka,-9.986077465453016e-08,1.3556810056603448e-07
Waist-hip Ratio,tau,S-LD2,FetalDHS_Trynka.flanking.500,2.1375859348129228e-08,5.1571362544398056e-08
Waist-hip Ratio,tau,S-LD2,H3K27ac_Hnisz,3.303125016573539e-08,2.1517702954410284e-08
Waist-hip Ratio,tau,S-LD2,H3K27ac_Hnisz.flanking.500,1.2897682617997085e-07,1.1643017154449946e-07
Waist-hip Ratio,tau,S-LD2,H3K27ac_PGC2,-4.863558134671432e-09,4.009499455765449e-08
Waist-hip Ratio,tau,S-LD2,H3K27ac_PGC2.flanking.500,1.574641015887878e-07,6.828449919963217e-08
Waist-hip Ratio,tau,S-LD2,H3K4me1_peaks_Trynka,-6.769836546056938e-08,8.215531259870694e-08
Waist-hip Ratio,tau,S-LD2,H3K4me1_Trynka,1.9221839515584177e-08,4.223821961728986e-08
Waist-hip Ratio,tau,S-LD2,H3K4me1_Trynka.flanking.500,1.175351125180662e-08,4.4904027898593234e-08
Waist-hip Ratio,tau,S-LD2,H3K4me3_peaks_Trynka,-3.059392698875259e-08,1.5535679198282815e-07
Waist-hip Ratio,tau,S-LD2,H3K4me3_Trynka,8.939309048442612e-08,6.278567403204938e-08
Waist-hip Ratio,tau,S-LD2,H3K4me3_Trynka.flanking.500,4.7645508070857936e-08,5.629362174416686e-08
Waist-hip Ratio,tau,S-LD2,H3K9ac_peaks_Trynka,1.8636174182434828e-08,1.8414652148329437e-07
Waist-hip Ratio,tau,S-LD2,H3K9ac_Trynka,2.315668915519208e-07,6.546114321781255e-08
Waist-hip Ratio,tau,S-LD2,H3K9ac_Trynka.flanking.500,-4.315937806608015e-08,7.587507936526168e-08
Waist-hip Ratio,tau,S-LD2,Intron_UCSC,-1.5567758453224116e-08,9.127403068022689e-09
Waist-hip Ratio,tau,S-LD2,Intron_UCSC.flanking.500,3.3415616202914005e-08,2.802831915686423e-07
Waist-hip Ratio,tau,S-LD2,PromoterFlanking_Hoffman,5.841599299449309e-08,3.5126494389888255e-07
Waist-hip Ratio,tau,S-LD2,PromoterFlanking_Hoffman.flanking.500,-2.8123282290972096e-07,1.2935405344810683e-07
Waist-hip Ratio,tau,S-LD2,Promoter_UCSC,-1.426731542995551e-07,7.40020936827557e-08
Waist-hip Ratio,tau,S-LD2,Promoter_UCSC.flanking.500,3.411070819733075e-08,2.3188433668845447e-07
Waist-hip Ratio,tau,S-LD2,Repressed_Hoffman,-2.5444884820023786e-08,3.523552711707662e-08
Waist-hip Ratio,tau,S-LD2,Repressed_Hoffman.flanking.500,3.6889186527911054e-08,3.374776144636214e-08
Waist-hip Ratio,tau,S-LD2,SuperEnhancer_Hnisz,3.347041465331239e-08,1.9707353551526487e-08
